TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2019-06-08,1039104,641502,382752,800.0
2019-06-09,1039104,637884,386237,642.0
2019-06-10,1035544,658443,363250,1492.0
2019-06-11,1033344,662280,359173,1472.0
2019-06-12,369564,230869,134730,426.0
2019-07-01,1033344,658320,362642,1373.0
2019-07-02,1033344,662577,359678,1528.0
2019-07-03,1033344,662413,359322,1548.0
2019-07-04,1029756,663870,354473,1568.0
2019-07-05,1033344,656850,365338,1482.0
2019-07-06,1033344,634015,389116,747.0
2019-07-07,1033344,638633,383774,788.0
2019-07-08,1033344,655411,365979,1462.0
2019-07-09,1033344,660912,360859,1636.0
2019-07-10,1033344,655533,365096,1605.0
2019-07-11,1033344,662507,358361,1546.0
2019-07-12,1033344,646100,367264,1465.0
2019-07-13,1033344,609202,387304,895.0
2019-07-14,1033344,611172,385598,971.0
2019-07-15,1033344,647362,366137,1463.0
2019-07-16,1033344,656122,365230,1456.0
2019-07-17,1033344,650798,368745,1482.0
2019-07-18,1033344,649799,362962,1630.0
2019-07-19,1028164,637810,376384,1311.0
2019-07-20,1025280,622822,391951,930.0
2019-07-21,1025280,616960,397833,722.0
2019-07-22,1025280,643956,369941,1438.0
2019-07-23,1025280,648057,365831,1514.0
2019-07-24,1025280,651247,362199,1565.0
2019-07-25,1025280,653199,360691,1484.0
2019-07-26,1025280,651170,363089,1387.0
2019-07-27,1025280,635799,377941,880.0
2019-07-28,1025280,632844,380796,762.0
2019-07-29,1025280,646670,366512,1502.0
2019-07-30,1025280,643528,368949,1415.0
2019-07-31,1025280,653790,358721,1470.0
2019-08-01,1025280,655833,357540,1562.0
2019-08-02,1025280,653137,360638,1215.0
2019-08-03,1025280,633341,381500,777.0
2019-08-04,1025280,631231,383114,571.0
2019-08-05,1025280,639197,373506,686.0
2019-08-06,1025280,662864,351189,1312.0
2019-08-07,1025280,666627,347452,1483.0
2019-08-08,1025280,662076,351635,1484.0
2019-08-09,1025280,653367,360106,1305.0
2019-08-10,1025280,642626,371982,739.0
2019-08-11,1025280,642761,372022,577.0
2019-08-12,1025280,656679,357435,1330.0
2019-08-13,1025280,659510,354479,1460.0
2019-08-14,1025280,657621,356034,1501.0
2019-08-15,1025280,660259,353004,1432.0
2019-08-16,1025280,653982,358867,1304.0
2019-08-17,1025280,641321,373259,833.0
2019-08-18,1025280,635707,378672,809.0
2019-08-19,1025280,653934,359715,1478.0
2019-08-20,1025280,648413,365536,1436.0
2019-08-21,1025280,644851,367732,1402.0
2019-08-22,1025280,652640,361324,1389.0
2019-08-23,1025280,646586,367117,1421.0
2019-08-24,1025280,627349,387541,807.0
2019-08-25,1025280,625498,389147,772.0
2019-08-26,1025280,645469,368314,1380.0
2019-08-27,1025280,647142,366163,1470.0
2019-08-28,1025280,644408,368572,1489.0
2019-08-29,1025280,643701,369230,1433.0
2019-08-30,1025280,645090,367516,1431.0
2019-08-31,1025280,628689,386135,820.0
2019-09-01,1025280,628826,386247,745.0
2019-09-02,1025280,642439,371357,1433.0
2019-09-03,1025280,649491,363829,1472.0
2019-09-04,1025280,648500,365787,1468.0
2019-09-05,1025280,647179,365701,1508.0
2019-09-06,1025280,642865,371041,1277.0
2019-09-07,1025280,624157,390742,797.0
2019-09-08,1025280,623446,391507,637.0
2019-09-09,1025280,646044,367316,1476.0
2019-09-10,1025280,650456,362939,1589.0
2019-09-11,986120,625745,349353,1440.0
2019-09-12,982560,616671,355137,1458.0
2019-09-13,1025280,634804,374090,1512.0
2019-09-14,1025280,609333,394165,819.0
2019-09-15,1025280,595206,408201,552.0
2019-09-16,1025280,621618,380444,1291.0
2019-09-17,982560,600881,359466,1414.0
2019-09-18,1025280,634865,366628,1455.0
2019-09-19,1025280,632723,370067,1544.0
